N,P,K,temperature,humidity,ph,rainfall,label,NPK_Total,NPK_Average,Humidity_Temp_Index,Soil_Fertility,Rainfall_Category
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,175,58.333333333333336,1712.1962830390814,61.5,High
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,184,61.333333333333336,1748.5957343980754,63.699999999999996,High
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,159,53.0,1893.7446273298856,53.7,High
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,149,49.666666666666664,2123.4829079544807,52.1,High
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,162,54.0,1642.720357036975,56.400000000000006,High
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,148,49.333333333333336,1922.352236179895,51.300000000000004,High
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,162,54.0,1876.6450619256132,55.5,High
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,187,62.333333333333336,1680.9050273750024,65.5,High
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,181,60.333333333333336,2047.9393937180864,63.199999999999996,High
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,164,54.666666666666664,1928.3614912692885,56.0,High
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,184,61.333333333333336,2159.782186434238,64.3,High
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,178,59.333333333333336,1953.1028678403572,62.4,High
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,180,60.0,2167.831921462657,61.8,High
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,185,61.666666666666664,1970.5938254448881,64.8,Medium
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,181,60.333333333333336,2070.306451433026,63.7,High
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,147,49.0,1949.8583733044302,50.099999999999994,High
